Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Charlotte Hornets,64,15560,2704,5900,0.458,880,2454,0.359,1824,3446,0.529,1017,1389,0.732,706,2185,2891,1743,555,311,857,1286,7305
2,Minnesota Timberwolves,64,15460,2640,5853,0.451,932,2659,0.351,1708,3194,0.535,1080,1412,0.765,744,2097,2841,1624,560,372,929,1399,7292
3,Memphis Grizzlies,64,15435,2747,5993,0.458,706,2073,0.341,2041,3920,0.521,1083,1477,0.733,906,2245,3151,1616,636,407,855,1247,7283
4,Milwaukee Bucks,64,15410,2625,5691,0.461,907,2503,0.362,1718,3188,0.539,1124,1452,0.774,657,2337,2994,1493,481,258,869,1172,7281
5,Chicago Bulls,64,15385,2702,5582,0.484,710,1888,0.376,1992,3694,0.539,1088,1338,0.813,553,2199,2752,1555,451,283,830,1201,7202
6,Phoenix Suns,63,15145,2710,5623,0.482,723,1989,0.363,1987,3634,0.547,1024,1289,0.794,617,2257,2874,1707,543,274,816,1215,7167
7,Sacramento Kings,65,15675,2638,5768,0.457,744,2181,0.341,1894,3587,0.528,1133,1479,0.766,657,2176,2833,1525,467,299,920,1246,7153
8,Indiana Pacers,65,15800,2655,5800,0.458,774,2293,0.338,1881,3507,0.536,1058,1397,0.757,727,2193,2920,1597,451,367,942,1319,7142
9,Boston Celtics,65,15800,2591,5683,0.456,820,2378,0.345,1771,3305,0.536,1105,1354,0.816,698,2322,3020,1560,461,395,907,1208,7107
10,San Antonio Spurs,63,15245,2756,5885,0.468,701,1979,0.354,2055,3906,0.526,886,1194,0.742,695,2154,2849,1779,487,314,798,1148,7099
11,Atlanta Hawks,63,15120,2588,5531,0.468,793,2112,0.375,1795,3419,0.525,1121,1392,0.805,621,2151,2772,1520,433,278,759,1161,7090
12,Brooklyn Nets,64,15410,2639,5670,0.465,714,2037,0.351,1925,3633,0.53,1088,1357,0.802,654,2181,2835,1581,442,337,883,1278,7080
13,Utah Jazz,62,14905,2525,5338,0.473,902,2496,0.361,1623,2842,0.571,1099,1413,0.778,649,2210,2859,1387,450,300,892,1166,7051
14,Miami Heat,64,15535,2533,5472,0.463,855,2280,0.375,1678,3192,0.526,1097,1359,0.807,670,2172,2842,1650,487,214,941,1327,7018
15,Golden State Warriors,63,15170,2546,5447,0.467,910,2522,0.361,1636,2925,0.559,984,1287,0.765,613,2255,2868,1720,591,301,952,1290,6986
16,Los Angeles Clippers,65,15650,2592,5681,0.456,808,2206,0.366,1784,3475,0.513,975,1246,0.783,592,2291,2883,1539,492,309,928,1219,6967
17,Denver Nuggets,63,15170,2583,5452,0.474,819,2312,0.354,1764,3140,0.562,978,1235,0.792,568,2208,2776,1711,461,229,906,1224,6963
18,Los Angeles Lakers,62,15105,2554,5497,0.465,737,2129,0.346,1817,3368,0.539,1000,1378,0.726,590,2165,2755,1486,496,352,913,1238,6845
19,Toronto Raptors,63,15245,2536,5730,0.443,763,2163,0.353,1773,3567,0.497,997,1326,0.752,828,1996,2824,1391,566,298,806,1246,6832
20,Houston Rockets,63,15170,2441,5427,0.45,844,2454,0.344,1597,2973,0.537,1103,1555,0.709,612,2045,2657,1456,461,284,1051,1284,6829
21,New Orleans Pelicans,63,15170,2486,5504,0.452,676,2053,0.329,1810,3451,0.524,1115,1409,0.791,726,2136,2862,1565,484,265,903,1250,6763
22,Philadelphia 76ers,62,14980,2442,5247,0.465,692,1923,0.36,1750,3324,0.526,1166,1424,0.819,515,2098,2613,1440,472,340,771,1210,6742
23,Dallas Mavericks,63,15195,2472,5401,0.458,805,2326,0.346,1667,3075,0.542,990,1295,0.764,591,2136,2727,1489,443,259,794,1245,6739
24,Cleveland Cavaliers,63,15120,2483,5320,0.467,735,2084,0.353,1748,3236,0.54,1019,1345,0.758,644,2166,2810,1587,447,269,935,1071,6720
25,Washington Wizards,62,15030,2497,5345,0.467,643,1911,0.336,1854,3434,0.54,1041,1331,0.782,572,2131,2703,1514,393,310,833,1193,6678
26,Portland Trail Blazers,62,14905,2401,5387,0.446,824,2344,0.352,1577,3043,0.518,1033,1356,0.762,629,2082,2711,1413,476,282,869,1255,6659
27,Orlando Magic,64,15410,2444,5630,0.434,762,2312,0.33,1682,3318,0.507,1004,1272,0.789,588,2216,2804,1489,446,298,941,1265,6654
28,New York Knicks,63,15220,2362,5440,0.434,816,2316,0.352,1546,3124,0.495,1089,1461,0.745,716,2183,2899,1353,435,309,860,1276,6629
29,Detroit Pistons,64,15435,2410,5688,0.424,708,2201,0.322,1702,3487,0.488,1089,1401,0.777,721,2044,2765,1461,489,310,921,1396,6617
30,Oklahoma City Thunder,63,15220,2382,5641,0.422,735,2338,0.314,1647,3303,0.499,934,1225,0.762,656,2242,2898,1359,487,291,864,1148,6433
,League Average,63,15303,2556,5588,0.457,781,2231,0.35,1775,3357,0.529,1051,1362,0.772,657,2176,2833,1544,485,304,882,1239,6944
